DSSTox_Source_Record_Id,Extenal_ID,DSSTox_Substance_Id,DSSTox_Structure_Id,DSSTox_QC-Level,Substance_Name,Substance_CASRN,Substance_Type,Substance_Note,Structure_SMILES,Structure_InChI,Structure_InChIKey,Structure_Formula,Structure_MolWt,Structure_SMILES_2D-QSAR,DateModified
DTXRID206088705,1,DTXSID20190593,DTXCID60113084,Public_Medium,4-Fluorothiophenol,371-42-6,Single Compound,Loaded based on no conflicts with this data in chemid and pubchem,FC1=CC=C(S)C=C1,"InChI=1S/C6H5FS/c7-5-1-3-6(8)4-2-5/h1-4,8H
AuxInfo=1/0/N:6,7,4,5,8,3,2,1/E:(1,2)(3,4)/rA:8SFCCCCCC/rB:;s1;d3;s3;s4;d5;s2d6s7;/rC:4.4137,2.8414,0;4.4137,-3.3187,0;4.4137,1.3013,0;3.08,.5313,0;5.7475,.5313,0;3.08,-1.0087,0;5.7475,-1.0087,0;4.4137,-1.7787,0;
",OKIHXNKYYGUVTE-UHFFFAOYSA-N,C6H5FS,128.16,FC1=CC=C(S)C=C1,20170228
DTXRID906088706,2,DTXSID7062116,DTXCID9036274,Public_High,"Benzenethiol, 3-chloro-",2037-31-2,Single Compound,SRS/ChemID matched; SRS trust index 3,SC1=CC(Cl)=CC=C1,"InChI=1S/C6H5ClS/c7-5-2-1-3-6(8)4-5/h1-4,8H
AuxInfo=1/0/N:4,5,3,1,6,2,7,8/rA:8CCCCCCClS/rB:d1;s2;d3;s4;s1d5;s6;s2;/rC:2.6673,1.54,0;2.6673,0,0;1.3337,-.77,0;;0,1.54,0;1.3337,2.31,0;1.3337,3.85,0;4.001,-.77,0;
",CQJDYPZUDYXHLM-UHFFFAOYSA-N,C6H5ClS,144.62,SC1=CC(Cl)=CC=C1,20170228
DTXRID606088707,3,DTXSID3059341,DTXCID0032996,Public_High,"Benzenethiol, 4-chloro-",106-54-7,Single Compound,SRS/ChemID matched; SRS trust index 3,SC1=CC=C(Cl)C=C1,"InChI=1S/C6H5ClS/c7-5-1-3-6(8)4-2-5/h1-4,8H
AuxInfo=1/0/N:3,6,2,7,4,1,5,8/E:(1,2)(3,4)/rA:8CCCCClCCS/rB:d1;s2;d3;s4;s4;s1d6;s1;/rC:1.3337,2.31,0;2.6673,1.54,0;2.6673,0,0;1.3337,-.77,0;1.3337,-2.31,0;;0,1.54,0;1.3337,3.85,0;
",VZXOZSQDJJNBRC-UHFFFAOYSA-N,C6H5ClS,144.62,SC1=CC=C(Cl)C=C1,20170228
DTXRID306088708,4,DTXSID8059340,DTXCID5032995,Public_High,"Benzenethiol, 4-bromo-",106-53-6,Single Compound,SRS/ChemID matched; SRS trust index 3,SC1=CC=C(Br)C=C1,"InChI=1S/C6H5BrS/c7-5-1-3-6(8)4-2-5/h1-4,8H
AuxInfo=1/0/N:2,6,3,5,1,4,8,7/E:(1,2)(3,4)/rA:8CCCCCCSBr/rB:d1;s2;d3;s4;s1d5;s4;s1;/rC:1.3337,2.31,0;2.6673,1.54,0;2.6673,0,0;1.3337,-.77,0;;0,1.54,0;1.3337,-2.31,0;1.3337,3.85,0;
",FTBCOQFMQSTCQQ-UHFFFAOYSA-N,C6H5BrS,189.07,SC1=CC=C(Br)C=C1,20170228
DTXRID006088709,5,DTXSID6026664,DTXCID206664,DSSTox_Low,Benzenemethanethiol,100-53-8,Single Compound,,SCC1=CC=CC=C1,"InChI=1S/C7H8S/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2
AuxInfo=1/0/N:4,3,5,2,6,7,1,8/E:(2,3)(4,5)/rA:8CCCCCCCS/rB:d1;s2;d3;s4;s1d5;s1;s7;/rC:3.0691,-1.3353,0;2.3154,-2.6654,0;.7754,-2.6654,0;0,-1.3353,0;.7754,0,0;2.3154,0,0;4.6091,-1.3353,0;5.3845,0,0;
",UENWRTRMUIOCKN-UHFFFAOYSA-N,C7H8S,124.2,SCC1=CC=CC=C1,20170228
DTXRID306088710,6,DTXSID5048188,DTXCID0028163,DSSTox_High,4-Thiocresol,106-45-6,Single Compound,,CC1=CC=C(S)C=C1,"InChI=1S/C7H8S/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3
AuxInfo=1/0/N:7,1,5,2,6,3,4,8/E:(2,3)(4,5)/rA:8CCCCCCCS/rB:s1;d1;d2;s3;s4d5;s3;s4;/rC:3.4897,-4.2034,0;3.4897,-5.7434,0;2.153,-3.4209,0;2.153,-6.5009,0;.8163,-4.2034,0;.8163,-5.7434,0;2.153,-1.881,0;2.153,-8.0409,0;
",WLHCBQAPPJAULW-UHFFFAOYSA-N,C7H8S,124.2,CC1=CC=C(S)C=C1,20170228
DTXRID006088711,7,DTXSID30716041,DTXCID60666787,Public_Low,"3,4-Dihydroxyfuran-2(5H)-one",10216-17-8,Single Compound,,OC1=C(O)C(=O)OC1,"InChI=1S/C4H4O4/c5-2-1-8-4(7)3(2)6/h5-6H,1H2
AuxInfo=1/0/N:5,6,7,8,2,3,4,1/rA:8OOOOCCCC/rB:;;;s1;s2s5;s3d6;s1d4s7;/rC:5.7905,1.8077,0;7.4657,-1.8077,0;4.1153,-1.8077,0;3.08,1.3786,0;7.0362,.9027,0;6.5605,-.562,0;5.0204,-.562,0;4.5446,.9027,0;
",QGLKIVPNOUPWOW-UHFFFAOYSA-N,C4H4O4,116.072,OC1COC(=O)C1=O,20170228
DTXRID706088712,8,DTXSID3047716,DTXCID2027709,DSSTox_Low,"3-Methyl-1,2-cyclopentanedione",765-70-8,Single Compound,,CC1CCC(=O)C1=O,"InChI=1/C6H8O2/c1-4-2-3-5(7)6(4)8/h4H,2-3H2,1H3
AuxInfo=1/0/N:8,4,5,3,1,2,6,7/rA:8CCCCCOOC/rB:s1;s2;s3;s1s4;d1;d2;s3;/rC:1.455,-2.4648,0;2.7036,-1.569,0;3.974,-2.4648,0;3.4691,-3.9197,0;1.9599,-3.9197,0;0,-1.9599,0;2.7036,0,0;5.429,-1.9599,0;
",OACYKCIZDVVNJL-UHFFFAOYNA-N,C6H8O2,112.128,CC1CCC(=O)C1=O,20170228
DTXRID406088713,9,DTXSID4035128,DTXCID2015128,DSSTox_Low,Cyclotene,80-71-7,Single Compound,,CC1=C(O)C(=O)CC1,"InChI=1S/C6H8O2/c1-4-2-3-5(7)6(4)8/h8H,2-3H2,1H3
AuxInfo=1/0/N:8,4,5,3,1,2,6,7/rA:8CCCCCOOC/rB:s1;d2;s3;s1s4;d1;s2;s3;/rC:1.2248,-1.5452,0;2.491,-2.4702,0;2.0257,-3.9224,0;.4857,-3.9224,0;0,-2.4702,0;1.2454,0,0;3.9585,-1.969,0;2.956,-5.1678,0;
",CFAKWWQIUFSQFU-UHFFFAOYSA-N,C6H8O2,112.128,CC1CCC(=O)C1=O,20171120
DTXRID106088714,10,DTXSID6061101,DTXCID3047893,Public_High,"1,2-Cyclohexanedione",765-87-7,Single Compound,SRS/ChemID matched; SRS trust index 3,O=C1CCCCC1=O,"InChI=1S/C6H8O2/c7-5-3-1-2-4-6(5)8/h1-4H2
AuxInfo=1/0/N:4,5,3,6,2,1,7,8/E:(1,2)(3,4)(5,6)(7,8)/rA:8CCCCCCOO/rB:s1;s2;s3;s4;s1s5;d2;d1;/rC:1.3337,2.31,0;2.6673,1.54,0;2.6673,0,0;1.3337,-.77,0;;0,1.54,0;4.001,2.31,0;1.3337,3.85,0;
",OILAIQUEIWYQPH-UHFFFAOYSA-N,C6H8O2,112.128,O=C1CCCCC1=O,20170228
DTXRID806088715,11,DTXSID3020257,DTXCID30257,DSSTox_Low,Catechol,120-80-9,Single Compound,,OC1=C(O)C=CC=C1,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H
AuxInfo=1/0/N:5,6,4,7,3,2,8,1/E:(1,2)(3,4)(5,6)(7,8)/rA:8OCCCCCCO/rB:s1;d2;s3;d4;s5;s2d6;s3;/rC:0,-2.6685,0;1.54,-2.6685,0;2.3124,-1.3365,0;3.8524,-1.3365,0;4.6246,-2.6685,0;3.8524,-4.005,0;2.3124,-4.005,0;1.54,0,0;
",YCIMNLLNPGFGHC-UHFFFAOYSA-N,C6H6O2,110.112,OC1=C(O)C=CC=C1,20170228
DTXRID506088716,12,DTXSID70187610,DTXCID30110101,Public_Medium,Cyclopentane carboxylic acid,3400-45-1,Single Compound,Loaded based on no conflicts with this data in chemid and pubchem,OC(=O)C1CCCC1,"InChI=1S/C6H10O2/c7-6(8)5-3-1-2-4-5/h5H,1-4H2,(H,7,8)
AuxInfo=1/1/N:6,7,5,4,3,8,1,2/E:(1,2)(3,4)(7,8)/rA:8OOCCCCCC/rB:;;s3;s3;s5;s4s6;s1d2s3;/rC:5.7475,1.8626,0;3.0802,1.8626,0;4.4137,-.4476,0;3.1679,-1.3528,0;5.6597,-1.3528,0;5.1839,-2.8174,0;3.6437,-2.8174,0;4.4137,1.0926,0;
",JBDSSBMEKXHSJF-UHFFFAOYSA-N,C6H10O2,114.144,OC(=O)C1CCCC1,20170228
DTXRID206088717,13,DTXSID1044433,DTXCID9024433,DSSTox_Low,"1,3-Cyclohexanedione",504-02-9,Single Compound,,O=C1CCCC(=O)C1,"InChI=1S/C6H8O2/c7-5-2-1-3-6(8)4-5/h1-4H2
AuxInfo=1/0/N:6,7,8,1,2,3,4,5/E:(2,3)(5,6)(7,8)/rA:8CCCOOCCC/rB:s1;s1;d2;d3;;s2s6;s3s6;/rC:2.6746,-2.3017,0;1.335,-1.5422,0;2.6746,-3.8439,0;1.335,0,0;4.0465,-4.5851,0;0,-3.8439,0;0,-2.3017,0;1.335,-4.6035,0;
",HJSLFCCWAKVHIW-UHFFFAOYSA-N,C6H8O2,112.128,O=C1CCCC(=O)C1,20170228
DTXRID906088718,14,DTXSID2021238,DTXCID601238,DSSTox_High,Resorcinol,108-46-3,Single Compound,,OC1=CC(O)=CC=C1,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H
AuxInfo=1/0/N:6,5,7,3,4,2,8,1/E:(2,3)(5,6)(7,8)/rA:8OCCCCCCO/rB:s1;d2;s3;d4;s5;s2d6;s4;/rC:5.3379,-3.08,0;4.0035,-2.3114,0;2.669,-3.08,0;1.3345,-2.3114,0;1.3345,-.7686,0;2.669,0,0;4.0035,-.7686,0;0,-3.08,0;
",GHMLBKRAJCXXBS-UHFFFAOYSA-N,C6H6O2,110.112,OC1=CC(O)=CC=C1,20170228
DTXRID606088719,15,DTXSID7020716,DTXCID70716,DSSTox_Low,Hydroquinone,123-31-9,Single Compound,,OC1=CC=C(O)C=C1,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H
AuxInfo=1/0/N:3,4,7,6,2,5,1,8/E:(1,2,3,4)(5,6)(7,8)/rA:8OCCCCCCO/rB:s1;d2;s3;d4;s5;s2d6;s5;/rC:0,-1.3368,0;1.54,-1.3368,0;2.31,0,0;3.85,0,0;4.62,-1.3368,0;3.85,-2.6673,0;2.31,-2.6673,0;6.1601,-1.3368,0;
",QIGBRXMKCJKVMJ-UHFFFAOYSA-N,C6H6O2,110.112,OC1=CC=C(O)C=C1,20180305
DTXRID906088720,16,DTXSID50900965,DTXCID801001928,Incomplete,NoName_10,NOCAS_900965,Single Compound,,O=CC1CCCC1=O,"InChI=1/C6H8O2/c7-4-5-2-1-3-6(5)8/h4-5H,1-3H2
AuxInfo=1/0/N:7,6,8,4,3,2,5,1/rA:8OCCCOCCC/rB:d1;s2;s3;d4;s3;s6;s2s7;/rC:4.0449,-2.7409,0;2.5803,-3.2168,0;1.3344,-2.3116,0;1.3344,-.7716,0;.0007,-.0016,0;.0885,-3.2168,0;.5644,-4.6814,0;2.1044,-4.6814,0;
",ZAIBWUAGAZIQMM-UHFFFAOYNA-N,C6H8O2,112.128,O=CC1CCCC1=O,20180702
DTXRID606088721,17,DTXSID3020257,DTXCID30257,DSSTox_Low,Catechol,120-80-9,Single Compound,,OC1=C(O)C=CC=C1,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H
AuxInfo=1/0/N:5,6,4,7,3,2,8,1/E:(1,2)(3,4)(5,6)(7,8)/rA:8OCCCCCCO/rB:s1;d2;s3;d4;s5;s2d6;s3;/rC:0,-2.6685,0;1.54,-2.6685,0;2.3124,-1.3365,0;3.8524,-1.3365,0;4.6246,-2.6685,0;3.8524,-4.005,0;2.3124,-4.005,0;1.54,0,0;
",YCIMNLLNPGFGHC-UHFFFAOYSA-N,C6H6O2,110.112,OC1=C(O)C=CC=C1,20170228
DTXRID306088722,18,DTXSID2021238,DTXCID601238,DSSTox_High,Resorcinol,108-46-3,Single Compound,,OC1=CC(O)=CC=C1,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H
AuxInfo=1/0/N:6,5,7,3,4,2,8,1/E:(2,3)(5,6)(7,8)/rA:8OCCCCCCO/rB:s1;d2;s3;d4;s5;s2d6;s4;/rC:5.3379,-3.08,0;4.0035,-2.3114,0;2.669,-3.08,0;1.3345,-2.3114,0;1.3345,-.7686,0;2.669,0,0;4.0035,-.7686,0;0,-3.08,0;
",GHMLBKRAJCXXBS-UHFFFAOYSA-N,C6H6O2,110.112,OC1=CC(O)=CC=C1,20170228
DTXRID006088723,19,DTXSID7020716,DTXCID70716,DSSTox_Low,Hydroquinone,123-31-9,Single Compound,,OC1=CC=C(O)C=C1,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H
AuxInfo=1/0/N:3,4,7,6,2,5,1,8/E:(1,2,3,4)(5,6)(7,8)/rA:8OCCCCCCO/rB:s1;d2;s3;d4;s5;s2d6;s5;/rC:0,-1.3368,0;1.54,-1.3368,0;2.31,0,0;3.85,0,0;4.62,-1.3368,0;3.85,-2.6673,0;2.31,-2.6673,0;6.1601,-1.3368,0;
",QIGBRXMKCJKVMJ-UHFFFAOYSA-N,C6H6O2,110.112,OC1=CC=C(O)C=C1,20180305
DTXRID706088724,20,DTXSID10900966,DTXCID40897299,Incomplete,NoName_11,NOCAS_900966,Single Compound,,OC(=O)C1CC1(Cl)Cl,"InChI=1/C4H4Cl2O2/c5-4(6)1-2(4)3(7)8/h2H,1H2,(H,7,8)
AuxInfo=1/1/N:8,4,5,2,1,3,6,7/E:(5,6)(7,8)/rA:8ClCClCCOOC/rB:s1;s2;s2;s4;d5;s5;s2s4;/rC:2.2605,-.0018,0;3.4402,-.9916,0;4.6198,-.0018,0;2.6702,-2.3253,0;1.3365,-3.0953,0;1.3365,-4.6352,0;.0028,-2.3253,0;4.2102,-2.3253,0;
",GVGFEJPTKINGLP-UHFFFAOYNA-N,C4H4Cl2O2,154.97,OC(=O)C1CC1(Cl)Cl,20180702
DTXRID406088725,21,DTXSID70900967,DTXCID40954437,Incomplete,NoName_12,NOCAS_900967,Single Compound,,OC(=O)C1CC1(Br)Br,"InChI=1/C4H4Br2O2/c5-4(6)1-2(4)3(7)8/h2H,1H2,(H,7,8)
AuxInfo=1/1/N:8,4,5,2,1,3,6,7/E:(5,6)(7,8)/rA:8BrCBrCCOOC/rB:s1;s2;s2;s4;d5;s5;s2s4;/rC:2.2605,-.0018,0;3.4402,-.9916,0;4.6198,-.0018,0;2.6702,-2.3253,0;1.3365,-3.0953,0;1.3365,-4.6352,0;.0028,-2.3253,0;4.2102,-2.3253,0;
",ZZQWHIVRLNQEDZ-UHFFFAOYNA-N,C4H4Br2O2,243.882,OC(=O)C1CC1(Br)Br,20180702
DTXRID106088726,22,DTXSID30900968,DTXCID901322416,Incomplete,NoName_13,NOCAS_900968,Single Compound,,ClC1CCC(=O)C1=O,"InChI=1/C5H5ClO2/c6-3-1-2-4(7)5(3)8/h3H,1-2H2
AuxInfo=1/0/N:8,7,2,5,3,1,6,4/rA:8ClCCOCOCC/rB:s1;s2;d3;s3;d5;s5;s2s7;/rC:5.4218,-1.9692,0;3.9573,-2.4451,0;2.7114,-1.5399,0;2.7114,.0001,0;1.4655,-2.4451,0;.0009,-1.9692,0;1.9414,-3.9098,0;3.4814,-3.9098,0;
",SNAOXHWORPTDTJ-UHFFFAOYNA-N,C5H5ClO2,132.54,ClC1CCC(=O)C1=O,20180702
DTXRID806088727,23,DTXSID40236745,DTXCID70159236,Public_Medium,3-Thiophenecarboxylic acid,88-13-1,Single Compound,Loaded based on no conflicts with this data in chemid and pubchem,OC(=O)C1=CSC=C1,"InChI=1S/C5H4O2S/c6-5(7)4-1-2-8-3-4/h1-3H,(H,6,7)
AuxInfo=1/1/N:5,7,6,4,8,2,3,1/E:(6,7)/rA:8SOOCCCCC/rB:;;;s4;s1d4;s1d5;s2d3s4;/rC:5.1837,-2.8174,0;5.7473,1.8626,0;3.08,1.8626,0;4.4137,-.4474,0;3.1677,-1.3528,0;5.6595,-1.3528,0;3.6437,-2.8174,0;4.4137,1.0926,0;
",YNVOMSDITJMNET-UHFFFAOYSA-N,C5H4O2S,128.15,OC(=O)C1=CSC=C1,20170228
DTXRID506088728,24,DTXSID2060177,DTXCID7041259,Public_High,2-Thiophenecarboxylic acid,527-72-0,Single Compound,SRS/ChemID matched; SRS trust index 3,OC(=O)C1=CC=CS1,"InChI=1S/C5H4O2S/c6-5(7)4-2-1-3-8-4/h1-3H,(H,6,7)
AuxInfo=1/1/N:6,5,7,1,2,3,4,8/E:(6,7)/rA:8CCOOCCCS/rB:s1;s2;d2;d1;s5;d6;s1s7;/rC:1.0599,2.08,0;1.0599,3.62,0;-.2738,4.39,0;2.3934,4.39,0;2.3057,1.1749,0;1.8299,-.2899,0;.2899,-.2899,0;-.1861,1.1749,0;
",QERYCTSHXKAMIS-UHFFFAOYSA-N,C5H4O2S,128.15,OC(=O)C1=CC=CS1,20170228
