DSSTox_Source_Record_Id,Extenal_ID,DSSTox_Substance_Id,DSSTox_Structure_Id,DSSTox_QC-Level,Substance_Name,Substance_CASRN,Substance_Type,Substance_Note,Structure_SMILES,Structure_InChI,Structure_InChIKey,Structure_Formula,Structure_MolWt,Structure_SMILES_2D-QSAR,DateModified
DTXRID706092315,28,DTXSID60202169,DTXCID10124660,Public_Medium,Tropone,539-80-0,Single Compound,Loaded based on no conflicts with this data in chemid and pubchem,O=C1C=CC=CC=C1,"InChI=1S/C7H6O/c8-7-5-3-1-2-4-6-7/h1-6H
AuxInfo=1/0/N:7,8,5,6,3,4,2,1/E:(1,2)(3,4)(5,6)/rA:8OCCCCCCC/rB:d1;s2;s2;d3;d4;s5;s6d7;/rC:7.9936,0,0;6.4536,0,0;5.7855,-1.3875,0;5.7855,1.3875,0;4.284,-1.7302,0;4.284,1.7302,0;3.08,-.77,0;3.08,.77,0;
",QVWDCTQRORVHHT-UHFFFAOYSA-N,C7H6O,106.124,O=C1C=CC=CC=C1,20170228.0
DTXRID406092316,29,DTXSID20902496,DTXCID101330700,Incomplete,NoName_3000,NOCAS_902496,Single Compound,,OC1C=CC=CC=C1,"InChI=1S/C7H8O/c8-7-5-3-1-2-4-6-7/h1-8H
AuxInfo=1/0/N:5,6,4,7,3,8,2,1/E:(1,2)(3,4)(5,6)/rA:8OCCCCCCC/rB:s1;s2;d3;s4;d5;s6;s2d7;/rC:1.7288,.0032,0;1.7288,-1.5368,0;.3413,-2.205,0;-.0014,-3.7064,0;.9587,-4.9104,0;2.4987,-4.9104,0;3.4589,-3.7064,0;3.1162,-2.205,0;
",VYFFZXBJEZVYLO-UHFFFAOYSA-N,C7H8O,108.14,OC1C=CC=CC=C1,20180702.0
DTXRID106092317,49,DTXSID6041420,DTXCID4021420,DSSTox_Low,2-Furancarboxylic acid,88-14-2,Single Compound,,OC(=O)C1=CC=CO1,"InChI=1S/C5H4O3/c6-5(7)4-2-1-3-8-4/h1-3H,(H,6,7)
AuxInfo=1/1/N:7,4,6,1,2,5,8,3/E:(6,7)/rA:8CCOCOCCO/rB:s1;s1;d1;d2;s3;s4d6;s2;/rC:2.5116,-2.0258,0;3.9431,-1.5038,0;1.2455,-1.168,0;2.0258,-3.5296,0;4.2377,0,0;0,-2.0258,0;.4858,-3.5296,0;5.1679,-2.4496,0;
",SMNDYUVBFMFKNZ-UHFFFAOYSA-N,C5H4O3,112.084,OC(=O)C1=CC=CO1,20180814.0
DTXRID806092318,51,DTXSID50197611,DTXCID10120102,Public_Medium,3-Furoic acid,488-93-7,Single Compound,Loaded based on no conflicts with this data in chemid and pubchem,OC(=O)C1=COC=C1,"InChI=1S/C5H4O3/c6-5(7)4-1-2-8-3-4/h1-3H,(H,6,7)
AuxInfo=1/1/N:5,7,6,4,8,2,3,1/E:(6,7)/rA:8OOOCCCCC/rB:;;;s4;s1d4;s1d5;s2d3s4;/rC:5.1837,-2.8174,0;5.7473,1.8626,0;3.08,1.8626,0;4.4137,-.4474,0;3.1677,-1.3528,0;5.6595,-1.3528,0;3.6437,-2.8174,0;4.4137,1.0926,0;
",IHCCAYCGZOLTEU-UHFFFAOYSA-N,C5H4O3,112.084,OC(=O)C1=COC=C1,20170228.0
DTXRID506092319,62,DTXSID70166021,DTXCID3088512,Public_Medium,"2,4-Diaminopyrimidine",156-81-0,Single Compound,Loaded based on no conflicts with this data in chemid and pubchem,NC1=NC(N)=NC=C1,"InChI=1S/C4H6N4/c5-3-1-2-7-4(6)8-3/h1-2H,(H4,5,6,7,8)
AuxInfo=1/1/N:6,8,5,7,3,4,2,1/rA:8NNNNCCCC/rB:;;;d1s3;s5;s1d2s4;s2d6;/rC:6.5744,-1.0627,0;7.9081,1.2475,0;3.9069,-1.0627,0;9.2417,-1.0627,0;5.2407,-.2927,0;5.2407,1.2475,0;7.9081,-.2927,0;6.5744,2.0175,0;
",YAAWASYJIRZXSZ-UHFFFAOYSA-N,C4H6N4,110.12,NC1=NC(N)=NC=C1,20170228.0
DTXRID806092320,64,DTXSID40160233,DTXCID1082724,Public_Medium,"4,5-Diaminopyrimidine",13754-19-3,Single Compound,Loaded based on no conflicts with this data in chemid and pubchem,NC1=CN=CN=C1N,"InChI=1S/C4H6N4/c5-3-1-7-2-8-4(3)6/h1-2H,5H2,(H2,6,7,8)
AuxInfo=1/1/N:7,8,5,6,2,3,4,1/rA:8NNNNCCCC/rB:;;;s2;d1s3s5;s4d5;s1d4;/rC:7.9081,-.2387,0;3.9069,.5313,0;6.5744,2.0713,0;6.5744,-2.5487,0;5.2407,-.2387,0;6.5744,.5313,0;5.2407,-1.7787,0;7.9081,-1.7787,0;
",PPAULTVPKLVLII-UHFFFAOYSA-N,C4H6N4,110.12,NC1=CN=CN=C1N,20170228.0
DTXRID506092321,66,DTXSID2068476,DTXCID8040434,Public_High,"1H-1,2,4-Triazol-3-amine, 5-(methylthio)-",45534-08-5,Single Compound,SRS/ChemID matched; SRS trust index 3,CSC1=NC(N)=NN1,"InChI=1S/C3H6N4S/c1-8-3-5-2(4)6-7-3/h1H3,(H3,4,5,6,7)
AuxInfo=1/1/N:7,2,5,8,1,3,4,6/rA:8NCNNCSCN/rB:s1;d2;s3;d1s4;s5;s6;s2;/rC:2.3057,1.1749,0;1.8299,-.2899,0;.2899,-.2899,0;-.1861,1.1749,0;1.0599,2.08,0;1.0599,3.62,0;-.2738,4.39,0;2.735,-1.5357,0;
",XGWWZKBCQLBJNH-UHFFFAOYSA-N,C3H6N4S,130.17,CSC1=NC(N)=NN1,20170228.0
DTXRID206092322,67,DTXSID3025881,DTXCID905881,DSSTox_Low,"1,2-Phenylenediamine",95-54-5,Single Compound,,NC1=C(N)C=CC=C1,"InChI=1S/C6H8N2/c7-5-3-1-2-4-6(5)8/h1-4H,7-8H2
AuxInfo=1/0/N:6,7,5,8,3,2,4,1/E:(1,2)(3,4)(5,6)(7,8)/rA:8NCCNCCCC/rB:s1;d2;s3;s3;d5;s6;s2d7;/rC:0,-2.6685,0;1.54,-2.6685,0;2.3124,-1.3365,0;1.54,0,0;3.8524,-1.3365,0;4.6246,-2.6685,0;3.8524,-4.005,0;2.3124,-4.005,0;
",GEYOCULIXLDCMW-UHFFFAOYSA-N,C6H8N2,108.144,NC1=C(N)C=CC=C1,20170228.0
DTXRID906092323,68,DTXSID0027301,DTXCID707301,DSSTox_Low,"1,2-Cyclohexanediamine",694-83-7,Single Compound,,NC1CCCCC1N,"InChI=1/C6H14N2/c7-5-3-1-2-4-6(5)8/h5-6H,1-4,7-8H2
AuxInfo=1/0/N:4,5,3,6,2,1,8,7/E:(1,2)(3,4)(5,6)(7,8)/rA:8CCCCCCNN/rB:s1;s2;s3;s4;s1s5;s1;s2;/rC:1.3365,-1.54,0;2.6732,-2.3217,0;2.6732,-3.8617,0;1.3365,-4.6248,0;0,-3.8617,0;0,-2.3217,0;1.3365,0,0;4.0097,-1.54,0;
",SSJXIUAHEKJCMH-UHFFFAOYNA-N,C6H14N2,114.192,NC1CCCCC1N,20170228.0
DTXRID606092324,69,DTXSID0027301,DTXCID707301,DSSTox_Low,"1,2-Cyclohexanediamine",694-83-7,Single Compound,,NC1CCCCC1N,"InChI=1/C6H14N2/c7-5-3-1-2-4-6(5)8/h5-6H,1-4,7-8H2
AuxInfo=1/0/N:4,5,3,6,2,1,8,7/E:(1,2)(3,4)(5,6)(7,8)/rA:8CCCCCCNN/rB:s1;s2;s3;s4;s1s5;s1;s2;/rC:1.3365,-1.54,0;2.6732,-2.3217,0;2.6732,-3.8617,0;1.3365,-4.6248,0;0,-3.8617,0;0,-2.3217,0;1.3365,0,0;4.0097,-1.54,0;
",SSJXIUAHEKJCMH-UHFFFAOYNA-N,C6H14N2,114.192,NC1CCCCC1N,20170228.0
