"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"13342","OC=1(N(N=C(C=1)C2(=CC=CC=C2))C)","CN1N=C(C=C1O)C1C=CC=CC=1","InChI=1S/C10H10N2O/c1-12-10(13)7-9(11-12)8-5-3-2-4-6-8/h2-7,13H,1H3","NRFHROYGWWFLKU-UHFFFAOYSA-N","?",,"potentiometric","b/apparent","?","acidic",10.9
"13338","OC=1(NN=C(C=1C2(=CC=CC=C2))C)","CC1=NNC(O)=C1C1C=CC=CC=1","InChI=1S/C10H10N2O/c1-7-9(10(13)12-11-7)8-5-3-2-4-6-8/h2-6H,1H3,(H2,11,12,13)","FTUPSXHUCWFVNH-UHFFFAOYSA-N","?",,"potentiometric","b/apparent","?","acidic",11.4
"13339","OC1(=NNC(=C1C)C2(=CC=CC=C2))","CC1C(O)=NNC=1C1C=CC=CC=1","InChI=1S/C10H10N2O/c1-7-9(11-12-10(7)13)8-5-3-2-4-6-8/h2-6H,1H3,(H2,11,12,13)","KITWZJXZJOOKTF-UHFFFAOYSA-N","?",,"potentiometric","a/apparent","?","acidic",7.6
"13337","OC2(=NN(C1(=CC=CC=C1))C(=C2)C)","CC1=CC(O)=NN1C1C=CC=CC=1","InChI=1S/C10H10N2O/c1-8-7-10(13)11-12(8)9-5-3-2-4-6-9/h2-7H,1H3,(H,11,13)","QBPBVVYCXXLMSY-UHFFFAOYSA-N","?",,"mean from 2","b/apparent","?","acidic",12.14
"12429","O=C([O-])CCC1(=NC=2(C=CC=CC=2(N1)))","OC(O)=CCC1NC2C=CC=CC=2N=1","InChI=1S/C10H10N2O2/c13-10(14)6-5-9-11-7-3-1-2-4-8(7)12-9/h1-4,6,13-14H,5H2,(H,11,12)","BJABXUAFRFFWAW-UHFFFAOYSA-N","?","24.9","spectrophotometric","a4/apparent","NH-C-N","acidic",13.1
"12409","O=C1(NC(=O)CC(N1)C2(=CC=CC=C2))","OC1CC(NC(=O)N=1)C1C=CC=CC=1","InChI=1S/C10H10N2O2/c13-9-6-8(11-10(14)12-9)7-4-2-1-3-5-7/h1-5,8H,6H2,(H2,11,12,13,14)","GTYVCYXIFVPPIP-UHFFFAOYSA-N","?","25","spectrophotometric","a1/thermodynamic","OCNHCO","acidic",11.22
"12408","O=C1(NC(=O)C(N1)CC2(=CC=CC=C2))","OC1NC(=O)N=C1CC1C=CC=CC=1","InChI=1S/C10H10N2O2/c13-9-8(11-10(14)12-9)6-7-4-2-1-3-5-7/h1-5,9,13H,6H2,(H,12,14)","RUZIUFXXYHPRHB-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","?","acidic",9.03
"12459","S(=O)(C1(=NC=CN1))CC2(=CC=CC=C2)","O=S(CC1C=CC=CC=1)C1NC=CN=1","InChI=1S/C10H10N2OS/c13-14(10-11-6-7-12-10)8-9-4-2-1-3-5-9/h1-7H,8H2,(H,11,12)","DFBZVNFCHKGQKB-UHFFFAOYSA-N","?","23","spectrophotometric","a1/apparent","NH","acidic",9.8
"16661","S1(C(=NC=C1)NP(=O)(OC)C2(=CC=C([N+](=O)[O-])C=C2))","COP(=O)(NC1=NC=CS1)C1C=CC(=CC=1)[N+]([O-])=O","InChI=1S/C10H10N3O4PS/c1-17-18(16,12-10-11-6-7-19-10)9-4-2-8(3-5-9)13(14)15/h2-7H,1H3,(H,11,12,16)","CVSOYYVQGHWKSX-UHFFFAOYSA-N","?",,"potentiometric","a/apparent","?","acidic",8.6
"15054","O=C(O)CCC1(=NN=NN1C2(=CC=CC=C2))","OC(O)=CCC1=NN=NN1C1C=CC=CC=1","InChI=1S/C10H10N4O2/c15-10(16)7-6-9-11-12-13-14(9)8-4-2-1-3-5-8/h1-5,7,15-16H,6H2","FDNHRZBDKYZNMV-UHFFFAOYSA-N","?",,,"a/apparent","?","acidic",5.0
