"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"13340","OC=1(N(N=C(C=1)C)C2(=CC=CC=C2))","CC1C=C(O)N(N=1)C1C=CC=CC=1","InChI=1S/C10H10N2O/c1-8-7-10(13)12(11-8)9-5-3-2-4-6-9/h2-7,13H,1H3","PLVBQEFRONZLHO-UHFFFAOYSA-N","?",,"potentiometric","b/apparent","?","acidic",11.3
"17017","S(=O)(=O)(C1(=NC=CN1))CC2(=CC=CC=C2)","O=S(=O)(CC1C=CC=CC=1)C1NC=CN=1","InChI=1S/C10H10N2O2S/c13-15(14,10-11-6-7-12-10)8-9-4-2-1-3-5-9/h1-7H,8H2,(H,11,12)","DHHHAOSHUUFEST-UHFFFAOYSA-N","?","23","spectrophotometric","a1/apparent","NH","acidic",8.67
"16094","S(=O)(=O)(NC1(=CN=CN=C1))C2(=CC=C(N)C=C2)","NC1C=CC(=CC=1)S(=O)(=O)NC1C=NC=NC=1","InChI=1S/C10H10N4O2S/c11-8-1-3-10(4-2-8)17(15,16)14-9-5-12-7-13-6-9/h1-7,14H,11H2","OIPFAEVFPXYUDR-UHFFFAOYSA-N","?",,"potentiometric","a/apparent","?","acidic",6.62
"16086","S(=O)(=O)(NC1(=NN=CC=C1))C2(=CC=C(N)C=C2)","NC1C=CC(=CC=1)S(=O)(=O)NC1C=CC=NN=1","InChI=1S/C10H10N4O2S/c11-8-3-5-9(6-4-8)17(15,16)14-10-2-1-7-12-13-10/h1-7H,11H2,(H,13,14)","KLXBSPXXUGSWGB-UHFFFAOYSA-N","?",,"potentiometric","a/apparent","?","acidic",7.06
"10521","O=C(O)C=CC1(=CC=C(C)C=C1)","CC1=CC=C(C=CC(O)=O)C=C1","InChI=1S/C10H10O2/c1-8-2-4-9(5-3-8)6-7-10(11)12/h2-7H,1H3,(H,11,12)","RURHILYUWQEGOS-UHFFFAOYSA-N","?","25",,"apparent","?","acidic",4.56
"10940","O=C(O)C2(=CC=C(C1(CC1))C=C2)","OC(=O)C1C=CC(=CC=1)C1CC1","InChI=1S/C10H10O2/c11-10(12)9-5-3-8(4-6-9)7-1-2-7/h3-7H,1-2H2,(H,11,12)","GJCRWEAWEDESNZ-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","?","acidic",4.42
"13528","O=C(O)C=CC1(=CC=C(OC)C=C1)","COC1C=CC(C=CC(O)=O)=CC=1","InChI=1S/C10H10O3/c1-13-9-5-2-8(3-6-9)4-7-10(11)12/h2-7H,1H3,(H,11,12)","AFDXODALSZRGIH-UHFFFAOYSA-N","?, ?","25",,"apparent","?, ?","acidic",4.3149999999999995
"13513","O=C(O)C(=O)C1(=CC(=C(C)C=C1)C)","CC1C=C(C=CC=1C)C(=O)C(O)=O","InChI=1S/C10H10O3/c1-6-3-4-8(5-7(6)2)9(11)10(12)13/h3-5H,1-2H3,(H,12,13)","ISPFBCQRXZHOGR-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","?","acidic",1.36
"13500","[Br]C1(=C(C=C(O)C(C=C1)=O)C(C)C)","CC(C)C1C=C(O)C(=O)C=CC=1Br","InChI=1S/C10H11BrO2/c1-6(2)7-5-10(13)9(12)4-3-8(7)11/h3-6H,1-2H3,(H,12,13)","XXRFBIMTKXBOTJ-UHFFFAOYSA-N","?","25","potentiometric","a/thermodynamic","?","acidic",6.53
"16197","S(=O)(=O)(NC=1(SC=CN=1))C2(=C(C=C(N)C=C2)C)","CC1C=C(N)C=CC=1S(=O)(=O)NC1=NC=CS1","InChI=1S/C10H11N3O2S2/c1-7-6-8(11)2-3-9(7)17(14,15)13-10-12-4-5-16-10/h2-6H,11H2,1H3,(H,12,13)","FLOJODNDBLOGID-UHFFFAOYSA-N","?",,"potentiometric","a/apparent","?","acidic",7.3
"13641","O=C(NC1(=CC=CC=C1))CC(=O)C","CC(=O)C/C(/O)=N\C1C=CC=CC=1","InChI=1S/C10H11NO2/c1-8(12)7-10(13)11-9-5-3-2-4-6-9/h2-6H,7H2,1H3,(H,11,13)","DYRDKSSFIWVSNM-UHFFFAOYSA-N","?","25","mean from 2","a1/apparent","?","acidic",9.94
"14719","[S+](CC(=O)C1(=CC=C([N+](=O)[O-])C=C1))(C)C","C[S+](C)C=C(O)C1C=CC(=CC=1)[N+]([O-])=O","InChI=1S/C10H11NO3S/c1-15(2)7-10(12)8-3-5-9(6-4-8)11(13)14/h3-7H,1-2H3/p+1","XCFPHAZXIKSZLC-UHFFFAOYSA-O","?","24","spectrophotometric","a1/apparent","RMe2S+ Br-","acidic",6.7
"12141","O=C(N(C)C)C=C(O)C1(=CC=NC=C1)","CN(C)C(=O)C=C(O)C1C=CN=CC=1","InChI=1S/C10H12N2O2/c1-12(2)10(14)7-9(13)8-3-5-11-6-4-8/h3-7,13H,1-2H3","XYTODIBKWYVIBL-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","acidic",7.32
"16194","S1(C(=NC=C1)NP(=O)(OC)C2(=CC=C(N)C=C2))","COP(=O)(NC1=NC=CS1)C1C=CC(N)=CC=1","InChI=1S/C10H12N3O2PS/c1-15-16(14,13-10-12-6-7-17-10)9-4-2-8(11)3-5-9/h2-7H,11H2,1H3,(H,12,13,14)","ADQCBFBZYMRZNR-UHFFFAOYSA-N","?",,"potentiometric","a/apparent","?","acidic",9.2
"13744","OC2(=CC1(=C(CCCC1)C=C2))","OC1=CC2CCCCC=2C=C1","InChI=1S/C10H12O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h5-7,11H,1-4H2","UMKXSOXZAXIOPJ-UHFFFAOYSA-N","?","18","mean from 3","a/apparent","?","acidic",10.33
"10524","O=C(O)C1(=CC=C(C(C)C)C=C1)","CC(C)C1C=CC(=CC=1)C(O)=O","InChI=1S/C10H12O2/c1-7(2)8-3-5-9(6-4-8)10(11)12/h3-7H,1-2H3,(H,11,12)","CKMXAIVXVKGGFM-UHFFFAOYSA-N","?","25","mean from 2","apparent","?","acidic",4.31
"10522","O=C(O)CCC1(=CC=C(C)C=C1)","CC1C=CC(CC=C(O)O)=CC=1","InChI=1S/C10H12O2/c1-8-2-4-9(5-3-8)6-7-10(11)12/h2-5,7,11-12H,6H2,1H3","QHAOMALKXSIJKN-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","?","acidic",4.74
"13517","O=C(O)CCC1(=CC(OC)=CC=C1)","COC1C=C(CC=C(O)O)C=CC=1","InChI=1S/C10H12O3/c1-13-9-4-2-3-8(7-9)5-6-10(11)12/h2-4,6-7,11-12H,5H2,1H3","GNQPSBXBMWHHOA-UHFFFAOYSA-N","?","25","conductometric","thermodynamic","?","acidic",4.65
"13525","O=C(O)C1(=CC=C(OCCC)C=C1)","CCCOC1C=CC(=CC=1)C(O)=O","InChI=1S/C10H12O3/c1-2-7-13-9-5-3-8(4-6-9)10(11)12/h3-6H,2,7H2,1H3,(H,11,12)","GDFUWFOCYZZGQU-UHFFFAOYSA-N","?","20","mean from 2","a1/apparent","?","acidic",4.63
"13523","O=C(O)C1(=C(OCC)C=CC=C1C)","CC1=CC=CC(OCC)=C1C(O)=O","InChI=1S/C10H12O3/c1-3-13-8-6-4-5-7(2)9(8)10(11)12/h4-6H,3H2,1-2H3,(H,11,12)","XBXXGQXDDJKDSV-UHFFFAOYSA-N","?","20","potentiometric","a/thermodynamic","?","acidic",3.51
