"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"11050","N2(=CC(C=1(N(C=CC=1)C))=CC=C2)","CN1C=CC=C1C1C=NC=CC=1","InChI=1S/C10H10N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2-8H,1H3","RYFOJXFXERAMLS-UHFFFAOYSA-N","?","24",,"b/apparent","?","basic",4.73
"11049","N=C1(C2(=C(N(C)C=C1)C=CC=C2))","CN1C=CC(=N)C2C=CC=CC1=2","InChI=1S/C10H10N2/c1-12-7-6-9(11)8-4-2-3-5-10(8)12/h2-7,11H,1H3","AZHUOPNKXMFIAA-UHFFFAOYSA-N","?","21","potentiometric","a/apparent","?","basic",12.4
"11043","N2(=CN(CC1(=CC=CC=C1))C=C2)","C(C1C=CC=CC=1)N1C=NC=C1","InChI=1S/C10H10N2/c1-2-4-10(5-3-1)8-12-7-6-11-9-12/h1-7,9H,8H2","KKKDZZRICRFGSD-UHFFFAOYSA-N","?","25","mean from 2","a1/apparent","CH","basic",6.66
"11033","N=1(C=2(C(C(N)=CC=1C)=CC=CC=2))","CC1C=C(N)C2=CC=CC=C2N=1","InChI=1S/C10H10N2/c1-7-6-9(11)8-4-2-3-5-10(8)12-7/h2-6H,1H3,(H2,11,12)","COCFIBRMFPWUDW-UHFFFAOYSA-N","?","20","potentiometric","a/apparent","?","basic",9.44
"13348","O(C2(=CC=1(C(=NC=CC=1N)C=C2)))C","COC1=CC2=C(N)C=CN=C2C=C1","InChI=1S/C10H10N2O/c1-13-7-2-3-10-8(6-7)9(11)4-5-12-10/h2-6H,1H3,(H2,11,12)","PHGNGVYUHOARGF-UHFFFAOYSA-N","?","30","mean from 2","a/apparent","?","basic",8.94
"13343","O=C2(N(C1(=C(C=CC=C1)N=C2C))C)","CC1=NC2C=CC=CC=2N(C)C1=O","InChI=1S/C10H10N2O/c1-7-10(13)12(2)9-6-4-3-5-8(9)11-7/h3-6H,1-2H3","GRGDSEWMSMJHMU-UHFFFAOYSA-N","?","20","spectrophotometric","a/apparent","?","basic",0.51
"13351","O(C2(=NC=1(C(=CC=CC=1)N=C2C)))C","CC1=NC2=CC=CC=C2N=C1OC","InChI=1S/C10H10N2O/c1-7-10(13-2)12-9-6-4-3-5-8(9)11-7/h3-6H,1-2H3","MGDHEFJLEXTPCT-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","basic",1.38
"12411","O(C2(=NC=1(C(=CC=CC=1)N=C2OC)))C","COC1=NC2=CC=CC=C2N=C1OC","InChI=1S/C10H10N2O2/c1-13-9-10(14-2)12-8-6-4-3-5-7(8)11-9/h3-6H,1-2H3","CRAYFGFTLBTRRS-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","basic",-1.15
"12428","O=C([O-])CCC1(=NC=2(C=CC=CC=2(N1)))","OC(O)=CCC1NC2C=CC=CC=2N=1","InChI=1S/C10H10N2O2/c13-10(14)6-5-9-11-7-3-1-2-4-8(7)12-9/h1-4,6,13-14H,5H2,(H,11,12)","BJABXUAFRFFWAW-UHFFFAOYSA-N","?","24.9","spectrophotometric","a3/apparent","NH-C-NH(+)","basic",5.7
"13319","S1(C(=NC=C1)NCC2(=CC=CC=C2))","C(NC1=NC=CS1)C1C=CC=CC=1","InChI=1S/C10H10N2S/c1-2-4-9(5-3-1)8-12-10-11-6-7-13-10/h1-7H,8H2,(H,11,12)","QSLBXMRJPQRVER-UHFFFAOYSA-N","?","25","spectrophotometric","a1/thermodynamic","?","basic",5.15
"12357","N1(=C(N)C=CC=C1C2(=NC(N)=CC=C2))","NC1C=CC=C(N=1)C1C=CC=C(N)N=1","InChI=1S/C10H10N4/c11-9-5-1-3-7(13-9)8-4-2-6-10(12)14-8/h1-6H,(H2,11,13)(H2,12,14)","YKSWVQYWQSZDPR-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","=NH(+)-","basic",6.7
"16095","S(=O)(=O)(NC1(=CN=CN=C1))C2(=CC=C(N)C=C2)","NC1C=CC(=CC=1)S(=O)(=O)NC1C=NC=NC=1","InChI=1S/C10H10N4O2S/c11-8-1-3-10(4-2-8)17(15,16)14-9-5-12-7-13-6-9/h1-7,14H,11H2","OIPFAEVFPXYUDR-UHFFFAOYSA-N","?",,"potentiometric","b/apparent","?","basic",1.9
"16093","S(=O)(=O)(NC1(=NC=NC=C1))C2(=CC=C(N)C=C2)","NC1C=CC(=CC=1)S(=O)(=O)NC1C=CN=CN=1","InChI=1S/C10H10N4O2S/c11-8-1-3-9(4-2-8)17(15,16)14-10-5-6-12-7-13-10/h1-7H,11H2,(H,12,13,14)","PXDBUWPMANSAFI-UHFFFAOYSA-N","?",,"potentiometric","b2/apparent","?","basic",1.3
"16089","S(=O)(=O)(NC1(=NC=CC=N1))C2(=CC=C(N)C=C2)","NC1C=CC(=CC=1)S(=O)(=O)NC1N=CC=CN=1","InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)","SEEPANYCNGTZFQ-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","?","basic",2.0
"16087","S(=O)(=O)(NC1(=NN=CC=C1))C2(=CC=C(N)C=C2)","NC1C=CC(=CC=1)S(=O)(=O)NC1C=CC=NN=1","InChI=1S/C10H10N4O2S/c11-8-3-5-9(6-4-8)17(15,16)14-10-2-1-7-12-13-10/h1-7H,11H2,(H,13,14)","KLXBSPXXUGSWGB-UHFFFAOYSA-N","?",,"potentiometric","b2/apparent","?","basic",1.3
"15731","O=C(O)C2(=CC=C(N=NC=1(C(=NNC=1N)N))C=C2)","NC1=NNC(N)=C1N=NC1C=CC(=CC=1)C(O)=O","InChI=1S/C10H10N6O2/c11-8-7(9(12)16-15-8)14-13-6-3-1-5(2-4-6)10(17)18/h1-4H,(H,17,18)(H5,11,12,15,16)","NCWCSLXGDWIAIT-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",3.4
"14148","N23(C1(=C(C=CC=C1)C(C2)CC3))","C1C2CCN1C1C=CC=CC=12","InChI=1S/C10H11N/c1-2-4-10-9(3-1)8-5-6-11(10)7-8/h1-4,8H,5-7H2","UJFYPTYOEWDYGL-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","NH+","basic",7.1
"13901","N2(=C(C1(=CC=CC=C1))CCC2)","C1CCN=C1C1C=CC=CC=1","InChI=1S/C10H11N/c1-2-5-9(6-3-1)10-7-4-8-11-10/h1-3,5-6H,4,7-8H2","PQZAWZGYOZRUFT-UHFFFAOYSA-N","?","25","potentiometric","b/apparent","?","basic",7.2
"14399","N(C1(=CC=CC=C1))C(C#C)C","CC(C#C)NC1C=CC=CC=1","InChI=1S/C10H11N/c1-3-9(2)11-10-7-5-4-6-8-10/h1,4-9,11H,2H3","YVHNSTSWXJRZBX-UHFFFAOYSA-N","?","25","potentiometric","b/apparent","?","basic",3.25
"13452","N(N)=C1(C2(=C(N(C)C=C1)C=CC=C2))","CN1C=CC(N=N)C2C=CC=CC1=2","InChI=1S/C10H11N3/c1-13-7-6-9(12-11)8-4-2-3-5-10(8)13/h2-7,9,11H,1H3","BVHWSZSJDVKZBN-UHFFFAOYSA-N","?","20","potentiometric","a2/apparent","?","basic",10.6
"13458","[N+]=1(C=2(C(C(NN)=CC=1)=CC=CC=2))(C)","C[N+]1=CC=C(NN)C2=CC=CC=C12","InChI=1S/C10H11N3/c1-13-7-6-9(12-11)8-4-2-3-5-10(8)13/h2-7H,11H2,1H3/p+1","OVHVYXFVTXDQOD-UHFFFAOYSA-O","?","20","potentiometric","a1/apparent","?","basic",2.61
"13453","N(N)=C2(N(C1(=C(C=CC=C1)C=C2))C)","CN1C(C=CC2C=CC=CC1=2)N=N","InChI=1S/C10H11N3/c1-13-9-5-3-2-4-8(9)6-7-10(13)12-11/h2-7,10-11H,1H3","YOZLSHBOBMYZLD-UHFFFAOYSA-N","?","20","mean from 2","a2/apparent","?","basic",9.17
"17129","O=C([O-])C(N)CC1(=NNC2(=C1C=CC=C2))","N=C(CC1=NNC2=CC=CC=C21)C(O)O","InChI=1S/C10H11N3O2/c11-7(10(14)15)5-9-6-3-1-2-4-8(6)12-13-9/h1-4,10-11,14-15H,5H2,(H,12,13)","JXKBMHROUWEAAK-UHFFFAOYSA-N","?",,"potentiometric","a2/apparent","?","basic",8.95
"12558","S1(C(=NN=C1C2(=CC=CC=C2))NCC)","CCNC1=NN=C(S1)C1C=CC=CC=1","InChI=1S/C10H11N3S/c1-2-11-10-13-12-9(14-10)8-6-4-3-5-7-8/h3-7H,2H2,1H3,(H,11,13)","UPXFLEWVKLVYFV-UHFFFAOYSA-N","?",,"spectrophotometric","b/apparent","?","basic",3.0
"12557","S1(C(=N)N(CC)N=C1C2(=CC=CC=C2))","CCN1N=C(SC1=N)C1C=CC=CC=1","InChI=1S/C10H11N3S/c1-2-13-10(11)14-9(12-13)8-6-4-3-5-7-8/h3-7,11H,2H2,1H3","HHGGOUNNVBOATN-UHFFFAOYSA-N","?",,"spectrophotometric","b/apparent","?","basic",6.1
"11142","[Br]C1(=C(N)C=C2(CCCCC2(=C1)))","NC1C=C2CCCCC2=CC=1Br","InChI=1S/C10H12BrN/c11-9-5-7-3-1-2-4-8(7)6-10(9)12/h5-6H,1-4,12H2","YNUSATBZZCEVTB-UHFFFAOYSA-N","?","17","potentiometric","a/apparent","?","basic",3.05
"14899","ClC1(=CC(=C([O-])C=C1)CNC(C(=O)[O-])CO)","OC1C=CC(Cl)=CC=1CN=C(CO)C(O)O","InChI=1S/C10H12ClNO4/c11-7-1-2-9(14)6(3-7)4-12-8(5-13)10(15)16/h1-3,10,13-16H,4-5H2","NLQBUYJYLNVWPQ-UHFFFAOYSA-N","?","25","mean from 2","a3/apparent","=NH-H(1+)","basic",10.15
