"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"11052","NC=2(C1(=C(N)C=CC=C1C=CC=2))","NC1C=CC=C2C=CC=C(N)C=12","InChI=1S/C10H10N2/c11-8-5-1-3-7-4-2-6-9(12)10(7)8/h1-6H,11-12H2","YFOOEYJGMMJJLS-UHFFFAOYSA-N","?","24.9","spectrophotometric","b1/apparent","H","basic",4.6
"13341","OC=1(N(N=C(C=1)C)C2(=CC=CC=C2))","CC1C=C(O)N(N=1)C1C=CC=CC=1","InChI=1S/C10H10N2O/c1-8-7-10(13)12(11-8)9-5-3-2-4-6-9/h2-7,13H,1H3","PLVBQEFRONZLHO-UHFFFAOYSA-N","?","20","spectrophotometric","a/apparent","?","basic",1.07
"12353","N2(=C(C1(=NC=CC(=C1)N))C=C(N)C=C2)","NC1=CC(=NC=C1)C1C=C(N)C=CN=1","InChI=1S/C10H10N4/c11-7-1-3-13-9(5-7)10-6-8(12)2-4-14-10/h1-6H,(H2,11,13)(H2,12,14)","WTHJTVKLMSJXEV-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","=NH(+)-","basic",8.8
"16091","S(=O)(=O)(NC1(=NC=CN=C1))C2(=CC=C(N)C=C2)","NC1C=CC(=CC=1)S(=O)(=O)NC1C=NC=CN=1","InChI=1S/C10H10N4O2S/c11-8-1-3-9(4-2-8)17(15,16)14-10-7-12-5-6-13-10/h1-7H,11H2,(H,13,14)","YEAICDDXRUOCKJ-UHFFFAOYSA-N","?",,"potentiometric","b/apparent","?","basic",1.77
"13742","O=C2(CC1(=C(C=CC=C1)CC2))","OC1CC2C=CC=CC=2CC=1","InChI=1S/C10H10O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-4,6,11H,5,7H2","DYYLTWVZULPSBW-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",12.83
"13898","N2(C1(=C(C=C(C)C=C1)C=C2))(C)","CC1C=CC2=C(C=1)C=CN2C","InChI=1S/C10H11N/c1-8-3-4-10-9(7-8)5-6-11(10)2/h3-7H,1-2H3","PZNYKBLADPHGMI-UHFFFAOYSA-N","?","25",,"a1/apparent","?","basic",-2.15
"13457","[N+]1(=C(NN)C=CC=2(C1=CC=CC=2))(C)","C[N+]1C2=CC=CC=C2C=CC=1NN","InChI=1S/C10H11N3/c1-13-9-5-3-2-4-8(9)6-7-10(13)12-11/h2-7H,11H2,1H3/p+1","ZQZHCTTVPYQJQR-UHFFFAOYSA-O","?","20","mean from 2","a1/apparent","?","basic",2.66
"11141","[Br]C1(=C(N)C=CC2(=C1CCCC2))","NC1C=CC2CCCCC=2C=1Br","InChI=1S/C10H12BrN/c11-10-8-4-2-1-3-7(8)5-6-9(10)12/h5-6H,1-4,12H2","UZQNLYZEAMZVSZ-UHFFFAOYSA-N","?","17","potentiometric","a/apparent","?","basic",3.05
"11041","N=2(C1(=C(C=CC=C1)N(C=2)CCC))","CCCN1C=NC2C=CC=CC1=2","InChI=1S/C10H12N2/c1-2-7-12-8-11-9-5-3-4-6-10(9)12/h3-6,8H,2,7H2,1H3","LZUVIELFLONRSS-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","?","basic",5.46
"13349","O1(C(=NCC1)N(C2(=CC=CC=C2))C)","CN(C1=NCCO1)C1C=CC=CC=1","InChI=1S/C10H12N2O/c1-12(10-11-7-8-13-10)9-5-3-2-4-6-9/h2-6H,7-8H2,1H3","AKDAEUSQQFHVDL-UHFFFAOYSA-N","?","20",,"a1/apparent","NH(+)","basic",8.51
"14867","O=[N+]([O-])C1(=CC=C(CCC(N)C(=O)[O-])C=C1)","N=C(CCC1C=CC(=CC=1)[N+]([O-])=O)C(O)O","InChI=1S/C10H12N2O4/c11-9(10(13)14)6-3-7-1-4-8(5-2-7)12(15)16/h1-2,4-5,10-11,13-14H,3,6H2","KIDVNDXEXDSFSD-UHFFFAOYSA-N","?",,"potentiometric","a2/apparent","?","basic",9.1
"16296","S2(C1(=NC=NC(=C1NC(C2)=O)N3(CCOCC3)))","OC1CSC2=NC=NC(=C2N=1)N1CCOCC1","InChI=1S/C10H12N4O2S/c15-7-5-17-10-8(13-7)9(11-6-12-10)14-1-3-16-4-2-14/h6H,1-5H2,(H,13,15)","NXZMSMVSXOXJBF-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","basic",2.07
"15661","N1(=C(N=C(N)N=C1N)NC(=N)NC2(=CC=CC=C2))","NC1=NC(NC(=N)NC2C=CC=CC=2)=NC(N)=N1","InChI=1S/C10H12N8/c11-7(14-6-4-2-1-3-5-6)16-10-17-8(12)15-9(13)18-10/h1-5H,(H7,11,12,13,14,15,16,17,18)","GLOOIGMFIWALOX-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","basic",8.2
"13320","ClC2(=NC=C(C1([NH+](CCC1)C))C=C2)","CN1CCCC1C1C=NC(Cl)=CC=1","InChI=1S/C10H13ClN2/c1-13-6-2-3-9(13)8-4-5-10(11)12-7-8/h4-5,7,9H,2-3,6H2,1H3","SVVOLGNZRGLPIU-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-1.3
"13892","NC2(CC1(=C(C=CC=C1)CC2))","NC1CC2C=CC=CC=2CC1","InChI=1S/C10H13N/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-4,10H,5-7,11H2","LCGFVWKNXLRFIF-UHFFFAOYSA-N","?","17","potentiometric","a/apparent","?","basic",9.97
"14722","O=C(NC1(=CC=C(N(C)C)C=C1))C=NO","CN(C)C1C=CC(=CC=1)NC(=O)CN=O","InChI=1S/C10H13N3O2/c1-13(2)9-5-3-8(4-6-9)12-10(14)7-11-15/h3-6H,7H2,1-2H3,(H,12,14)","MAQGGIZDFDDDSZ-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","?","basic",4.94
"16740","O3(C(N2(C1(=NC=NC(=C1N=C2)N)))C(O)C(C3CO)O)","NC1N=CN=C2C=1N=CN2C1OC(CO)C(O)C1O","InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)","OIRDTQYFTABQOQ-UHFFFAOYSA-N","?","22","mean from 7","a1/apparent","?","basic",3.53
"10843","O=C(C1(=CC=CC=C1))CCNC","CNCC=C(O)C1C=CC=CC=1","InChI=1S/C10H13NO/c1-11-8-7-10(12)9-5-3-2-4-6-9/h2-7,11-12H,8H2,1H3","OEGNMZUGSWNAGF-UHFFFAOYSA-N","?","20",,"b/apparent","?","basic",9.0
"13382","O(C1(=C(OC)C=C2(CCNC2(=C1))))C","COC1C=C2NCCC2=CC=1OC","InChI=1S/C10H13NO2/c1-12-9-5-7-3-4-11-8(7)6-10(9)13-2/h5-6,11H,3-4H2,1-2H3","DPRMKYPHVPDUIH-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","N-H","basic",7.3
"13639","O=C(OCCC)C1(=CC=C(N)C=C1)","CCCOC(=O)C1C=CC(N)=CC=1","InChI=1S/C10H13NO2/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6H,2,7,11H2,1H3","NBFQYHKHPBMJJV-UHFFFAOYSA-N","?","25","spectrophotometric","a/thermodynamic","?","basic",2.49
"14678","O=C([O-])C(NCC1(=C(O)C=CC=C1))CO","OC1=CC=CC=C1CN=C(CO)C(O)O","InChI=1S/C10H13NO4/c12-6-8(10(14)15)11-5-7-3-1-2-4-9(7)13/h1-4,10,12-15H,5-6H2","QHCMDCQBMKSGLM-UHFFFAOYSA-N","?","25","mean from 2","a2/apparent","ArO-H","basic",8.22
"10770","S(C(=N)C1(=CC=CC=C1))C(C)C","CC(C)SC(=N)C1C=CC=CC=1","InChI=1S/C10H13NS/c1-8(2)12-10(11)9-6-4-3-5-7-9/h3-8,11H,1-2H3","YRLYOMQUYNMAMK-UHFFFAOYSA-N","?","25",,"b/apparent","?","basic",8.04
"13690","ClC1(=CC=C(NCCOCC)C=C1)","CCOCCNC1C=CC(Cl)=CC=1","InChI=1S/C10H14ClNO/c1-2-13-8-7-12-10-5-3-9(11)4-6-10/h3-6,12H,2,7-8H2,1H3","XEVKJXJSSYZHAB-UHFFFAOYSA-N","?","24.9","spectrophotometric","a1/apparent","NH","basic",3.28
"10635","N(C1(=CC(=CC=C1)C))=CN(C)C","CC1C=C(C=CC=1)N=CN(C)C","InChI=1S/C10H14N2/c1-9-5-4-6-10(7-9)11-8-12(2)3/h4-8H,1-3H3","NCXQXIRXTWIUDZ-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","N=C-H","basic",9.11
"13579","O(C1(=C(N=CN(C)C)C=CC=C1))C","COC1C=CC=CC=1N=CN(C)C","InChI=1S/C10H14N2O/c1-12(2)8-11-9-6-4-5-7-10(9)13-3/h4-8H,1-3H3","IAXYUZNWRIJSIY-UHFFFAOYSA-N","?","25","mean from 2","a1/apparent","?","basic",8.11
"12144","O=[N+]([O-])C1(=CC=C(N(CC)CC)C=C1)","CCN(CC)C1C=CC(=CC=1)[N+]([O-])=O","InChI=1S/C10H14N2O2/c1-3-11(4-2)9-5-7-10(8-6-9)12(13)14/h5-8H,3-4H2,1-2H3","CFPIZMWTMRWZRO-UHFFFAOYSA-N","?","25","spectrophotometric","b1/apparent","amine","basic",1.7
"14388","NC1(=C(C=CC=C1)C(C)(C)C)","CC(C)(C)C1C=CC=CC=1N","InChI=1S/C10H15N/c1-10(2,3)8-6-4-5-7-9(8)11/h4-7H,11H2,1-3H3","AEIOZWYBDBVCGW-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","?","basic",3.78
"14393","N(CC1(=CC=CC=C1))CCC","CCCNCC1C=CC=CC=1","InChI=1S/C10H15N/c1-2-8-11-9-10-6-4-3-5-7-10/h3-7,11H,2,8-9H2,1H3","OUMBFMLKPJUWDQ-UHFFFAOYSA-N","?","25","potentiometric","b/apparent","?","basic",9.62
"14404","N(C1(=CC=CC=C1))(CCC)C","CCCN(C)C1C=CC=CC=1","InChI=1S/C10H15N/c1-3-9-11(2)10-7-5-4-6-8-10/h4-8H,3,9H2,1-2H3","JDKNALCOFBJYBR-UHFFFAOYSA-N","?","23",,"a/thermodynamic","?","basic",5.67
"14392","NC(CCC1(=CC=CC=C1))C","CC(N)CCC1C=CC=CC=1","InChI=1S/C10H15N/c1-9(11)7-8-10-5-3-2-4-6-10/h2-6,9H,7-8,11H2,1H3","WECUIGDEWBNQJJ-UHFFFAOYSA-N","?","25","potentiometric","b/apparent","?","basic",9.78
"14410","N(CC1(=C(C=CC=C1)C))(C)C","CC1C=CC=CC=1CN(C)C","InChI=1S/C10H15N/c1-9-6-4-5-7-10(9)8-11(2)3/h4-7H,8H2,1-3H3","IDKBVYHLNSAKTG-UHFFFAOYSA-N","?","25","potentiometric","a1/thermodynamic","N-H%+&","basic",8.71
"17121","N2(=C(NCCC(C)C)C1(=C(NN=C1)N=C2))","CC(C)CCNC1=NC=NC2NN=CC=21","InChI=1S/C10H15N5/c1-7(2)3-4-11-9-8-5-14-15-10(8)13-6-12-9/h5-7H,3-4H2,1-2H3,(H2,11,12,13,14,15)","DDGRELYEXVSKCZ-UHFFFAOYSA-N","?","20","spectrophotometric","a/apparent","?","basic",4.62
"10847","O(CCNC1(=CC=CC=C1))CC","CCOCCNC1C=CC=CC=1","InChI=1S/C10H15NO/c1-2-12-9-8-11-10-6-4-3-5-7-10/h3-7,11H,2,8-9H2,1H3","JLYJJRHBGXOWSQ-UHFFFAOYSA-N","?","24.9","spectrophotometric","a1/apparent","NH","basic",4.04
"10832","OC1(=C(C=C(C)C=C1)CN(C)C)","CC1C=CC(O)=C(CN(C)C)C=1","InChI=1S/C10H15NO/c1-8-4-5-10(12)9(6-8)7-11(2)3/h4-6,12H,7H2,1-3H3","HYVZRUQCAHFECM-UHFFFAOYSA-N","?","25","mean from 3","b1/apparent","?","basic",8.68
"10841","OCCCCCC1(=CN=CC=C1)","OCCCCCC1=CN=CC=C1","InChI=1S/C10H15NO/c12-8-3-1-2-5-10-6-4-7-11-9-10/h4,6-7,9,12H,1-3,5,8H2","ZTLBNLWBIMJSES-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","?","basic",5.72
"13644","O(C1(=CC(=C(O)C=C1)CN(C)C))C","COC1C=CC(O)=C(CN(C)C)C=1","InChI=1S/C10H15NO2/c1-11(2)7-8-6-9(13-3)4-5-10(8)12/h4-6,12H,7H2,1-3H3","DALDKLLZFGAGLB-UHFFFAOYSA-N","?","25","mean from 3","b1/apparent","?","basic",8.7
"13392","O=C([O-])C1(N2(CC(C=C)C(C1)CC2))","C=CC1CN2CCC1CC2=C(O)O","InChI=1S/C10H15NO2/c1-2-7-6-11-4-3-8(7)5-9(11)10(12)13/h2,7-8,12-13H,1,3-6H2","JZJRCSGZICQJIR-UHFFFAOYSA-N","?",,"potentiometric","a1/apparent","?","basic",10.6
"14669","O=C([O-])C1(NCC(C1CC(=O)[O-])C(=C)C)","CC(=C)C1CN=C(C1C=C(O)O)C(O)O","InChI=1S/C10H15NO4/c1-5(2)7-4-11-9(10(14)15)6(7)3-8(12)13/h3,6-7,10,12-15H,1,4H2,2H3","RSBFVRNCRHSKHQ-UHFFFAOYSA-N","?",,,"a3/apparent","?","basic",10.21
"14655","O=C([O-])C1(NCC(C1CC(=O)N)C(=C)C)","CC(=C)C1CN=C(C1CC(=N)O)C(O)O","InChI=1S/C10H16N2O3/c1-5(2)7-4-12-9(10(14)15)6(7)3-8(11)13/h6-7,10,14-15H,1,3-4H2,2H3,(H2,11,13)","ISKJWPWBCHBQMO-UHFFFAOYSA-N","?",,,"a2/apparent","?","basic",9.47
"14100","N(C(C#C)(C)C)C(C=C)(C)C","CC(C)(C#C)NC(C)(C)C=C","InChI=1S/C10H17N/c1-7-9(3,4)11-10(5,6)8-2/h1,8,11H,2H2,3-6H3","RNQWTFCKILAQKZ-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","?","basic",8.2
"13210","O=C(OCCN(CC=C)C)C(=C)C","CC(=C)C(=O)OCCN(C)CC=C","InChI=1S/C10H17NO2/c1-5-6-11(4)7-8-13-10(12)9(2)3/h5H,1-2,6-8H2,3-4H3","ZVAUURVOTSQXKL-UHFFFAOYSA-N","?","25","mean from 3","a1/thermodynamic","?","basic",7.39
"12526","O=C(OC)C1(C(O)CC2(N(C1CC2)C))","COC(O)=C1C2CCC(CC1O)N2C","InChI=1S/C10H17NO3/c1-11-6-3-4-7(11)9(8(12)5-6)10(13)14-2/h6-8,12-13H,3-5H2,1-2H3","BOWYNFSOLZTYCR-UHFFFAOYSA-N","?, ?","25","potentiometric","a/apparent","NH%+&, ?","basic",8.530000000000001
"10766","[Si](CNC1(=CC=CC=C1))(C)(C)C","C[Si](C)(C)CNC1C=CC=CC=1","InChI=1S/C10H17NSi/c1-12(2,3)9-11-10-7-5-4-6-8-10/h4-8,11H,9H2,1-3H3","VIAPGVLSJAGIPY-UHFFFAOYSA-N","?",,"potentiometric","b/thermodynamic","?","basic",5.3
"14097","N(C(C=C)(C)C)C(C=C)(C)C","CC(C)(C=C)NC(C)(C)C=C","InChI=1S/C10H19N/c1-7-9(3,4)11-10(5,6)8-2/h7-8,11H,1-2H2,3-6H3","PPDIERCWCKAQJY-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","?","basic",10.1
"13378","O2(C(CN(CC1(OC1))CCCC)C2)","CCCCN(CC1CO1)CC1CO1","InChI=1S/C10H19NO2/c1-2-3-4-11(5-9-7-12-9)6-10-8-13-10/h9-10H,2-8H2,1H3","LJDKIFXJERTLMR-UHFFFAOYSA-N","?","20","potentiometric","b1/apparent","NH%+&","basic",6.91
"13208","O=C(OCCNCC(C)C)C(=C)C","CC(=C)C(=O)OCCNCC(C)C","InChI=1S/C10H19NO2/c1-8(2)7-11-5-6-13-10(12)9(3)4/h8,11H,3,5-7H2,1-2,4H3","DCGRGVIPGIQHBE-UHFFFAOYSA-N","?","25","potentiometric","a1/thermodynamic","?","basic",8.91
